1,Hogar,288.05,2026-02-05 15:29:18
2,Hogar,104.27,2026-02-05 15:29:18
3,Hogar,435.11,2026-02-05 15:29:18
4,Electronica,79.71,2026-02-05 15:29:18
5,Electronica,207.78,2026-02-05 15:29:18
6,Electronica,148.78,2026-02-05 15:29:18
7,Hogar,444.61,2026-02-05 15:29:18
8,Hogar,285.94,2026-02-05 15:29:18
9,Hogar,481.15,2026-02-05 15:29:18
10,Electronica,242.1,2026-02-05 15:29:18
11,Hogar,164.75,2026-02-05 15:29:18
12,Electronica,83.04,2026-02-05 15:29:18
13,Hogar,317.93,2026-02-05 15:29:18
14,Electronica,238.69,2026-02-05 15:29:18
15,Electronica,213.54,2026-02-05 15:29:18
16,Hogar,208.3,2026-02-05 15:29:18
17,Hogar,540.8,2026-02-05 15:29:18
18,Electronica,259.79,2026-02-05 15:29:18
19,Hogar,87.38,2026-02-05 15:29:18
20,Electronica,144.23,2026-02-05 15:29:18
21,Hogar,275.66,2026-02-05 15:29:18
22,Hogar,287.45,2026-02-05 15:29:18
23,Electronica,509.45,2026-02-05 15:29:18
24,Electronica,391.72,2026-02-05 15:29:18
25,Electronica,79.67,2026-02-05 15:29:18
26,Electronica,392.59,2026-02-05 15:29:18
27,Electronica,146.67,2026-02-05 15:29:18
28,Electronica,415.15,2026-02-05 15:29:18
29,Electronica,474.46,2026-02-05 15:29:18
30,Electronica,169.41,2026-02-05 15:29:18
31,Electronica,385.22,2026-02-05 15:29:18
32,Hogar,271.3,2026-02-05 15:29:18
33,Electronica,263.43,2026-02-05 15:29:18
34,Hogar,425.04,2026-02-05 15:29:18
35,Hogar,53.54,2026-02-05 15:29:18
36,Hogar,457.81,2026-02-05 15:29:18
37,Electronica,512.67,2026-02-05 15:29:18
38,Hogar,323.27,2026-02-05 15:29:18
39,Electronica,260.89,2026-02-05 15:29:18
40,Hogar,133.27,2026-02-05 15:29:18
41,Hogar,175.83,2026-02-05 15:29:18
42,Electronica,312.95,2026-02-05 15:29:18
43,Hogar,490.39,2026-02-05 15:29:18
44,Electronica,205.43,2026-02-05 15:29:18
45,Hogar,370.71,2026-02-05 15:29:18
46,Hogar,313.53,2026-02-05 15:29:18
47,Hogar,442.28,2026-02-05 15:29:18
48,Hogar,282.96,2026-02-05 15:29:18
49,Electronica,519.55,2026-02-05 15:29:18
50,Electronica,345.32,2026-02-05 15:29:18
51,Electronica,282.76,2026-02-05 15:29:18
52,Hogar,372.73,2026-02-05 15:29:18
53,Hogar,342.19,2026-02-05 15:29:18
54,Electronica,155.82,2026-02-05 15:29:18
55,Electronica,439.69,2026-02-05 15:29:18
56,Hogar,242.54,2026-02-05 15:29:18
57,Electronica,142.67,2026-02-05 15:29:18
58,Hogar,257.85,2026-02-05 15:29:18
59,Electronica,98.56,2026-02-05 15:29:18
60,Electronica,64.32,2026-02-05 15:29:18
61,Hogar,239.94,2026-02-05 15:29:18
62,Electronica,225.19,2026-02-05 15:29:18
63,Electronica,406.35,2026-02-05 15:29:18
64,Electronica,410.69,2026-02-05 15:29:18
65,Electronica,513.81,2026-02-05 15:29:18
66,Hogar,319.53,2026-02-05 15:29:18
67,Electronica,255.93,2026-02-05 15:29:18
68,Hogar,377.54,2026-02-05 15:29:18
69,Hogar,233.72,2026-02-05 15:29:18
70,Hogar,430.92,2026-02-05 15:29:18
71,Hogar,545.07,2026-02-05 15:29:18
72,Electronica,101.17,2026-02-05 15:29:18
73,Electronica,120.96,2026-02-05 15:29:18
74,Hogar,76.12,2026-02-05 15:29:18
75,Electronica,373.41,2026-02-05 15:29:18
76,Electronica,75.73,2026-02-05 15:29:18
77,Electronica,352.36,2026-02-05 15:29:18
78,Hogar,388.76,2026-02-05 15:29:18
79,Electronica,498.19,2026-02-05 15:29:18
80,Hogar,82.3,2026-02-05 15:29:18
81,Electronica,471.87,2026-02-05 15:29:18
82,Electronica,469.04,2026-02-05 15:29:18
83,Electronica,55.76,2026-02-05 15:29:18
84,Electronica,498.23,2026-02-05 15:29:18
85,Electronica,503.39,2026-02-05 15:29:18
86,Electronica,211.22,2026-02-05 15:29:18
87,Hogar,226.88,2026-02-05 15:29:18
88,Electronica,308.08,2026-02-05 15:29:18
89,Hogar,223.95,2026-02-05 15:29:18
90,Electronica,361.95,2026-02-05 15:29:18
91,Electronica,202.87,2026-02-05 15:29:18
92,Hogar,528.51,2026-02-05 15:29:18
93,Electronica,188.57,2026-02-05 15:29:18
94,Electronica,236.07,2026-02-05 15:29:18
95,Hogar,433.08,2026-02-05 15:29:18
96,Hogar,446.1,2026-02-05 15:29:18
97,Hogar,103.14,2026-02-05 15:29:18
98,Electronica,470.77,2026-02-05 15:29:18
99,Electronica,67.54,2026-02-05 15:29:18
100,Electronica,414.23,2026-02-05 15:29:18
101,Hogar,298.38,2026-02-05 15:29:18
102,Electronica,102.43,2026-02-05 15:29:18
103,Electronica,349.96,2026-02-05 15:29:18
104,Electronica,251.5,2026-02-05 15:29:18
105,Hogar,56.25,2026-02-05 15:29:18
106,Electronica,332.84,2026-02-05 15:29:18
107,Hogar,142.72,2026-02-05 15:29:18
108,Electronica,487.22,2026-02-05 15:29:18
109,Electronica,362.5,2026-02-05 15:29:18
110,Electronica,50.63,2026-02-05 15:29:18
111,Electronica,463.99,2026-02-05 15:29:18
112,Electronica,297.96,2026-02-05 15:29:18
113,Electronica,453.42,2026-02-05 15:29:18
114,Electronica,362.69,2026-02-05 15:29:18
115,Electronica,327.62,2026-02-05 15:29:18
116,Hogar,192.05,2026-02-05 15:29:18
117,Hogar,435.51,2026-02-05 15:29:18
118,Electronica,147.73,2026-02-05 15:29:18
119,Hogar,179.91,2026-02-05 15:29:18
120,Electronica,478.25,2026-02-05 15:29:18
121,Electronica,69.09,2026-02-05 15:29:18
122,Electronica,61.99,2026-02-05 15:29:18
123,Electronica,209.78,2026-02-05 15:29:18
124,Electronica,125.76,2026-02-05 15:29:18
125,Hogar,256.07,2026-02-05 15:29:18
126,Hogar,139.62,2026-02-05 15:29:18
127,Electronica,387.57,2026-02-05 15:29:18
128,Electronica,260.77,2026-02-05 15:29:18
129,Electronica,233.18,2026-02-05 15:29:18
130,Hogar,425.35,2026-02-05 15:29:18
131,Hogar,123.4,2026-02-05 15:29:18
